ID_Cultivo;Nombre;ID_Campo;Campo;ID_Lote;Lote;Actividad;Actividad;Especie;Especie;Has a aplicar;Hectáreas;Puerto;Hectáreas Sembradas;Hectáreas Cosechadas;Puerto;Distancia Puerto;Código Sima;Coordenadas;Activo;ID_Dimension;Dimensión;ID_IT_Dimension;IT_Dimension;Socio;Ciclo;Peso 1000;Densidad;Años Rot/Dir;% E.G.;Antecesor;Pl.Nacidas;Pl.Cosecha;Nitrógeno PPM;Nitrógeno KG;Fosforo PPM;Fosforo KG;Materia Orgánica Sulfato;Materia Orgánica Total;Nitrógeno PPP 0-20;Nitrógeno KG 0-20;Nitrógeno PPP 20-40;Nitrógeno KG 20-40;Nitrógeno PPP 40-60;Nitrógeno KG 40-60;Azufre PPM;Azufre KG;Personal Responsable;Hectáreas Perdidas;Hectáreas No Cosechadas;Responsable;Zona;Categoría de semilla;Rinde Esperado;Es de agricultura intensiva
1284;LA TERESA .04 AVENA 26/27;245;LA TERESA;743;.04;89;AVENA;92;AVENA;;19,79;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA .04 SOJA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1285;LA TERESA .05A AVENA 26/27;245;LA TERESA;749;.05A;89;AVENA;92;AVENA;;29,89;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA .05A SOJA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1286;LA TERESA .05B AVENA 26/27;245;LA TERESA;750;.05B;89;AVENA;92;AVENA;;29,14;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA .05B SOJA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1287;LA TERESA .09A AVENA 26/27;245;LA TERESA;747;.09A;89;AVENA;92;AVENA;;21,13;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA .09A SOJA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1288;LA TERESA .09B AVENA 26/27;245;LA TERESA;746;.09B;89;AVENA;92;AVENA;;14,88;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA .09B SOJA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1289;LA TERESA .09C AVENA 26/27;245;LA TERESA;1164;.09C;89;AVENA;92;AVENA;;11,31;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA .09C SOJA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1290;LA TERESA .09D AVENA 26/27;245;LA TERESA;744;.09D;89;AVENA;92;AVENA;;20,93;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA .09D SOJA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1291;LA TERESA .09E AVENA 26/27;245;LA TERESA;951;.09E;89;AVENA;92;AVENA;;32,81;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA .09E SOJA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1292;LA TERESA .11A AVENA 26/27;245;LA TERESA;748;.11A;89;AVENA;92;AVENA;;30,3;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA .11A SOJA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1293;LA TERESA .11B AVENA 26/27;245;LA TERESA;797;.11B;89;AVENA;92;AVENA;;41,48;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA .11B SOJA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
